customer_id,name,signup_date,plan,segment
C001,Carlos Mendez,2023-01-15,Premium,Enterprise
C002,ana lopez,15/02/2023,Basic,SMB
C003,David Smith,2023-03-10,Premium,Enterprise
C004,ELENA GOMEZ,2023-03-12,Free,Consumer
C005,Jorge Ruiz,2023-04-01,Basic,SMB
C006,marta sanz,05-05-2023,Premium,Enterprise
C007,Roberto Carlos,2023/06/10,Free,Consumer
C008,Lucia Villa,2023-07-22,Basic,SMB
C009,Kevin Duant,12/08/2023,Premium,Enterprise
C010,SARA CONNOR,2023-09-30,Free,Consumer
C011,Victor Hugo,2023-10-05,Basic,SMB
C012,Laura Palmer,2023-11-12,Premium,Enterprise
C013,MIGUEL ANGEL,2023-11-15,Basic,SMB
C014,lucia fernandez,12/12/2023,Premium,Enterprise
C015,Pedro Picapiedra,2023-12-20,Free,Consumer
C016,Sonia Blade,2024-01-05,Basic,SMB
C017,tony stark,01-10-2024,Premium,Enterprise
C018,Diana Prince,2024/01/15,Free,Consumer
C019,Bruce Wayne,2024-01-20,Premium,Enterprise
C020,CLARK KENT,25/01/2024,Basic,SMB
C021,barry allen,2024-02-01,Free,Consumer
C022,Arthur Curry,02-05-2024,Premium,Enterprise
C023,Hal Jordan,2024/02/10,Basic,SMB
C024,SELINA KYLE,2024-02-12,Premium,Enterprise
C025,harvey dent,15/02/2024,Free,Consumer
C026,Barbara Gordon,2024-02-20,Basic,SMB
C027,Dick Grayson,22/02/2024,Premium,Enterprise
C028,VICTOR STONE,2024-03-01,Free,Consumer
C029,kara zor-el,03-05-2024,Basic,SMB
C030,Oliver Queen,2024/03/10,Premium,Enterprise
C031,JOHN CONSTANTINE,2024-03-12,Free,Consumer
C032,Zatanna Zatara,15/03/2024,Basic,SMB
C033,billy batson,2024-03-20,Premium,Enterprise
C034,STEVE ROGERS,2024-03-25,Free,Consumer
C035,Natasha Romanoff,01-04-2024,Basic,SMB
C036,wanda maximoff,2024/04/05,Premium,Enterprise
C037,VISION,2024-04-10,Free,Consumer
C038,Sam Wilson,12/04/2024,Basic,SMB
C039,bucki barnes,2024-04-15,Premium,Enterprise
C040,PETER PARKER,18/04/2024,Free,Consumer
C041,gwen stacy,2024-04-20,Basic,SMB
C042,Miles Morales,22/04/2024,Premium,Enterprise
C043,REED RICHARDS,2024-05-01,Free,Consumer
C044,sue storm,05-05-2024,Basic,SMB
C045,Johnny Storm,2024/05/10,Premium,Enterprise
C046,BEN GRIMM,2024-05-12,Free,Consumer
C047,charles xavier,15/05/2024,Basic,SMB
C048,Erik Lehnsherr,2024-05-20,Premium,Enterprise
C049,LOGAN HOWLETT,2024-05-25,Free,Consumer
C050,scott summers,01-06-2024,Basic,SMB
C051,Jean Grey,2024/06/05,Premium,Enterprise
C052,ORORO MUNROE,2024-06-10,Free,Consumer
C053,remy lebeau,12/06/2024,Basic,SMB
C054,Anna Marie,2024-06-15,Premium,Enterprise
C055,KURT WAGNER,18/06/2024,Free,Consumer
C056,piotr rasputin,2024-06-20,Basic,SMB
C057,Kitty Pryde,22/06/2024,Premium,Enterprise
C058,BOBBY DRAKE,2024-07-01,Free,Consumer
C059,warren worthington,05-07-2024,Basic,SMB
C060,Hank McCoy,2024/07/10,Premium,Enterprise
C061,EMMA FROST,2024-07-12,Free,Consumer
C062,lucas bishop,15/07/2024,Basic,SMB
